,EventID,Incidents,StartTime,InteractionID,OriginInteractionID,DetectorID,ElapsedTime,x,y,z,OriginalParticleID,NewParticleID,Energy
0,1.0,422.0,0.002184283,1.0,0.0,0.0,0.0,6.818593,29.21131,250.0,0.0,6.0,22000.0
1,1.0,422.0,0.002184283,2.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,21.0,4178.653
2,1.0,422.0,0.002184283,3.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,21.0,3152.966
3,1.0,422.0,0.002184283,4.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,21.0,5094.799
4,1.0,422.0,0.002184283,5.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,1.0,314.58
5,1.0,422.0,0.002184283,6.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,6.0,832.1539
6,1.0,422.0,0.002184283,7.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,1.0,1132.17
7,1.0,422.0,0.002184283,8.0,6.0,1.1,5.4688601972947e-08,1.304157,2.745954,100.4159,6.0,4.0,240.1018
8,1.0,422.0,0.002184283,9.0,6.0,1.1,6.2347375101579e-08,3.066357,8.584831,98.75469,6.0,4.0,163.2596
9,1.0,422.0,0.002184283,1.0,0.0,0.0,0.0,6.818593,29.21131,250.0,0.0,6.0,22000.0
10,1.0,422.0,0.002184283,2.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,21.0,4178.653
11,1.0,422.0,0.002184283,3.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,21.0,3152.966
12,1.0,422.0,0.002184283,4.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,21.0,5094.799
13,1.0,422.0,0.002184283,5.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,1.0,314.58
14,1.0,422.0,0.002184283,6.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,6.0,832.1539
15,1.0,422.0,0.002184283,7.0,1.0,3.1,1.8271088562591e-08,6.818593,29.21131,133.5036,6.0,1.0,1132.17
16,1.0,422.0,0.002184283,8.0,6.0,1.1,5.4688601972947e-08,1.304157,2.745954,100.4159,6.0,4.0,240.1018
17,1.0,422.0,0.002184283,9.0,6.0,1.1,6.2347375101579e-08,3.066357,8.584831,98.75469,6.0,4.0,163.2596
18,2.0,444.0,0.002269194,1.0,0.0,0.0,0.0,-56.25731,-39.6871,250.0,0.0,6.0,22000.0
19,2.0,444.0,0.002269194,2.0,1.0,3.2,2.9066676406728e-08,-56.25731,-39.6871,64.67102,6.0,4.0,5979.902
20,2.0,444.0,0.002269194,3.0,1.0,0.0,5.2124138830675e-08,-65.4392,25.05271,-43.07928,6.0,1.0,6596.897
21,2.0,444.0,0.002269194,4.0,1.0,0.0,5.2124138830675e-08,-65.4392,25.05271,-43.07928,6.0,1.0,2250.653
22,2.0,444.0,0.002269194,5.0,1.0,0.0,5.2124138830675e-08,-65.4392,25.05271,-43.07928,6.0,1.0,807.8667
23,2.0,444.0,0.002269194,6.0,1.0,0.0,5.2124138830675e-08,-65.4392,25.05271,-43.07928,6.0,1.0,7608.445
24,2.0,444.0,0.002269194,7.0,1.0,0.0,5.2124138830675e-08,-65.4392,25.05271,-43.07928,6.0,13027.0,633.4163
25,2.0,444.0,0.002269194,8.0,1.0,0.0,5.2124138830675e-08,-65.4392,25.05271,-43.07928,6.0,6.0,8312.896
26,2.0,444.0,0.002269194,9.0,8.0,0.0,5.3765492066206e-08,-62.83393,30.95042,-42.23544,6.0,1.0,619.7026
27,3.0,1001.0,0.005119701,1.0,0.0,0.0,0.0,40.55452,7.236183,250.0,0.0,6.0,22000.0
28,3.0,1001.0,0.005119701,2.0,1.0,1.5,2.3313299012604e-08,40.55452,7.236183,101.3545,6.0,4.0,306.5295
